timestamp,station_UID,air_temp_C,wind_spd_avg_ms,prcp_type,prcp_amount_mm,road_temp_C,visibility_m,dew_pnt_C,road_surface,freezing_pnt_C,wind_spd_max_ms,wind_dir,road_grip_koef,undrgrnd_007_temp_C,undrgrnd_020_temp_C,undrgrnd_050_temp_C,undrgrnd_080_temp_C,undrgrnd_110_temp_C,undrgrnd_130_temp_C,undrgrnd_140_temp_C,undrgrnd_170_temp_C,undrgrnd_200_temp_C
2022-01-04 23:50,1166,3.3,,,,0.6,,3.01,2.0,,,,0.74,-1.36,-4.54,-5.92,-6.17,-4.9,,-2.78,-0.81,1.9
2022-01-04 23:50,1164,3.4,1.3,5,0,3,2000,2.82,2.0,,2.5,135.0,0.62,,,,,,,,,
2022-01-04 23:35,308,,1.1,2,0.1,3.3,2000,2.1,2.0,,1.3,135.0,0.81,2.82,2.19,1.35,1.07,1.36,,2.47,3.96,5.3
2022-01-04 23:50,1208,3.6,0.3,1,0,,2000,3.17,2.0,,0.7,135.0,0.79,1.66,0.88,0,-0.28,0.36,,1.32,2.57,3.61
2022-01-04 23:50,1181,3.9,1.2,0,0,2.9,2000,3.17,1.0,,2,180.0,0.81,2.2,1.7,0.5,0.4,1,,2.3,3.3,4.9
2022-01-04 23:48,310,,1.2,5,1.04,3.5,2000,1.8,2.0,,1.4,135.0,0.71,,,,,,,,,
2022-01-04 23:50,1206,3.5,1.5,1,0,2.8,2000,3.07,2.0,,2.7,135.0,0.78,2.45,1.73,0.88,0.97,1.88,,3.05,4.3,5.3
2022-01-04 23:50,1183,3.2,1,7,222.3,2.6,1945,2.91,1.0,,2.1,135.0,0.81,1.46,0.15,-1.73,-1.36,-0.65,,-0.59,1.71,3.39
2022-01-04 23:36,363,3.5,2.5,0,0,3,2000,2.8,2.0,,3,135.0,0.79,2.32,1.91,1.71,1.33,2.37,,3.3,3.74,4.82
2022-01-04 23:36,361,2.6,2.7,0,0,,2000,1.9,1.0,,3.3,180.0,0.81,1.88,1.91,1.37,1.06,1.27,,1.93,3.05,4.07
2022-01-04 23:36,362,3.2,1.4,0,0,2.4,2000,1.7,1.0,,1.8,135.0,0.82,,,,,,,,,
2022-01-04 23:50,1185,,3.1,3,0,2.5,550,2.7,1.0,,6.1,180.0,0.81,1.9,1.6,-0.1,-0.6,0.3,,1.3,2.3,3.5
2022-01-04 23:50,1209,3.2,3.2,3,0,2.9,227,3.2,1.0,,4.8,225.0,0.77,2.6,2.18,0.62,-0.09,0.9,,1.96,2.97,3.97
2022-01-04 23:50,1201,3.7,3.4,0,0,3,2000,3.7,0.0,,5.4,180.0,0.81,2.24,1.96,0.67,0.5,1.59,,2.46,3.52,4.65
2022-01-04 23:36,367,4,3.6,,,3.6,,3.7,1.0,,5.1,180.0,0.81,3.16,2.86,2.17,1.67,2.19,,2.81,3.58,4.8
2022-01-04 23:50,1204,4.5,4,,,3.9,2000,3.92,1.0,,6.4,180.0,0.81,,,,,,,,,
2022-01-04 23:50,1187,3.9,2.7,1,0,,2000,3.9,0.0,,5.3,225.0,0.82,3.8,3.9,3.5,3.5,3.7,,4.1,5,6.1
2022-01-04 23:50,1101,3.1,2.3,0,0,2,2000,2.52,2.0,,3.8,135.0,0.77,,,,,,,,,
2022-01-04 23:50,1132,3.5,1.9,1,0.24,1.8,2000,2.78,2.0,,3.8,180.0,0.76,2.29,1.93,1.28,1.42,2.08,,3.07,3.97,4.93
2022-01-04 23:50,1134,3.3,2.3,1,0,2.2,2000,3.3,1.0,,3.5,180.0,0.8,1.23,-0.18,-0.24,0.32,1.38,,2.41,3.28,4
2022-01-04 23:50,1135,3.5,1.9,1,0,2.3,2000,2.92,1.0,,3.5,135.0,0.79,1.75,1.02,-0.71,-1.17,-0.05,,1.83,2.6,3.42
2022-01-04 23:35,306,3.1,1.5,5,2.93,,2000,1.5,2.0,,2,135.0,0.72,0.76,0.39,-0.79,-0.59,1.31,,2.14,3.32,4.15
2022-01-04 23:36,3821,2.8,2.1,5,0.54,2.2,2000,2.8,2.0,,,225.0,0.8,,,,,,,,,
2022-01-04 23:50,1168,-5.5,,0,0,3.4,2000,-54.1,1.0,,,,0.81,-5.95,-5.62,-3.7,-1.33,-0.06,,1.34,2.54,4.09
2022-01-04 23:50,1211,2.6,1.7,,0,0.3,2000,2.32,2.0,,3,90.0,0.72,,,,,,,,,
2022-01-04 09:35,2481,4,5.1,0,0,2.8,2000,2.97,2.0,,5.1,225.0,0.79,,,,,,,,,
2022-01-04 23:36,4001,3.1,0.9,5,1.26,2.3,2000,2.83,2.0,,0.9,135.0,0.69,,,,,,,,,
2022-01-04 23:50,1042,3.5,0.9,5,0.12,,2000,3.21,2.0,,1.8,90.0,0.71,1.93,1.32,0.08,-0.08,0.37,,1.27,2.1,2.77
2022-01-04 23:50,1063,3,0.7,5,0.54,1.9,2000,1.7,2.0,,1.1,315.0,0.72,,,-0.67,,-0.32,,2.78,4.43,
2022-01-04 23:50,1262,4.1,,,,-12,,2.53,2.0,,,,0.72,,,,,,,,,
2022-01-04 23:37,413,3.9,1.7,1,0.03,2.8,2000,2.4,2.0,,2.2,180.0,0.79,,,,,,,,,
2022-01-04 23:48,412,3.9,0.7,2,0.11,3.2,2000,2.9,2.0,,0.9,180.0,0.74,,,,,,,,,
2022-01-04 23:50,1071,4,1.3,,,,,3.12,2.0,,2.4,135.0,0.79,2.83,2.26,1.32,1.07,1.6,,2.89,4.18,5.11
2022-01-04 23:50,1004,2.7,1.9,,,2.7,,1.98,2.0,,3.8,180.0,0.76,2.91,2.8,2.63,2.48,2.44,,2.97,3.66,4.66
2022-01-04 23:50,1241,3.1,1.7,1,3,2.1,2000,3.1,2.0,,1.8,180.0,0.74,,,,,,,,,
2022-01-04 23:36,406,3.5,2.1,,,1.7,,2.3,2.0,,2.9,135.0,0.79,1.3,0.92,-0.1,-0.58,0.23,,1.86,2.92,3.67
2022-01-04 23:50,1125,2.6,2.7,1,0,1.4,2000,2.03,2.0,,6,180.0,0.79,0.49,0.18,-1.28,-0.82,0.61,,1.78,2.92,3.9
2022-01-04 23:50,1061,4.2,2,1,0.54,3.1,2000,3.32,2.0,,3,180.0,0.77,,,,,,,,,
2022-01-04 23:48,411,3.1,2.6,5,0.75,2.3,2000,2,2.0,,2.8,135.0,0.68,,,,,,,,,
2022-01-04 23:50,1143,3.2,2.6,,,2.7,,3.2,2.0,,3.6,135.0,0.71,2.38,1.96,1.23,1.02,1.38,,2.91,4.17,5.21
