timestamp,station_UID,air_temp_C,wind_spd_avg_ms,prcp_type,prcp_amount_mm,road_temp_C,visibility_m,dew_pnt_C,road_surface,freezing_pnt_C,wind_spd_max_ms,wind_dir,road_grip_koef,undrgrnd_007_temp_C,undrgrnd_020_temp_C,undrgrnd_050_temp_C,undrgrnd_080_temp_C,undrgrnd_110_temp_C,undrgrnd_130_temp_C,undrgrnd_140_temp_C,undrgrnd_170_temp_C,undrgrnd_200_temp_C
2022-06-15 17:50,1166,17,,,,28.3,,9.18,,,,,,28.4,22.62,17.37,16.11,14.8,,12.7,11.15,11.61
2022-06-15 17:50,1164,15.3,3.5,0,0,22.8,2000,10.07,0.0,,6.6,315.0,0.82,,,,,,,,,
2022-06-15 17:50,308,,1.4,0,0,22.2,2000,11.9,2.0,,2,315.0,0.7,26.12,22.91,17.54,17.41,16.84,,15.32,13.56,11.67
2022-06-15 17:36,6551,17.1,2.9,9,0,18.6,2000,12.43,2.0,,,315.0,0.79,,,,,,,,,
2022-06-15 17:50,1208,16.5,1.7,0,0,26,2000,11.22,0.0,,3.4,0.0,0.82,25.92,21.58,18.83,18.77,,,18.53,17.14,15.61
2022-06-15 17:50,1181,18.2,2.3,0,0,,2000,8.73,0.0,,4.9,0.0,0.82,26.9,24,18.3,17.8,17.5,,16.1,14.5,13
2022-06-15 17:50,310,,0.6,0,0.29,20,2000,8.6,0.0,,1.6,315.0,0.82,,,,,,,,,
2022-06-15 17:50,1206,17.3,1.3,0,0,21.3,2000,11.56,0.0,,2.6,45.0,0.82,21.36,21.46,18.3,17.99,,,17.02,15.89,14.36
2022-06-15 17:50,1183,18,1.2,,,26.3,,11.55,0.0,,2.5,45.0,0.82,,59.35,48.1,21.8,17.57,,16.51,15.99,
2022-06-15 17:50,363,19,1.6,0,0,31.8,2000,9.8,0.0,,2.6,0.0,0.82,28.85,24.6,19.8,18.5,17.16,,15.64,14.02,13.09
2022-06-15 17:50,361,21.1,4.7,0,0,34.3,2000,8,0.0,,7,270.0,0.82,29.01,24.62,19.28,18.32,17.42,,15.8,14.31,13.11
2022-06-15 17:50,362,20.7,4.4,0,0,30.2,2000,5.3,0.0,,6.5,270.0,0.82,,,,,,,,,
2022-06-15 17:50,1185,,5.5,0,0,32,2000,7.9,0.0,,10.1,270.0,0.82,31.6,27,20.8,19.5,18.4,,16.9,15.7,14.2
2022-06-15 17:50,1209,19.4,6.1,0,0,29.2,2000,9,0.0,,9.5,270.0,0.82,28.05,23.84,19.13,18.18,17.16,,15.85,14.64,13.48
2022-06-15 17:50,1201,19.2,5.9,0,0,29.1,2000,9.1,0.0,,9.3,315.0,0.82,29.78,25,18.85,17.27,16.12,,14.64,13.6,12.33
2022-06-15 17:50,367,18.6,4.6,,,32.4,,10.4,0.0,,6.3,270.0,0.82,34.33,27.53,19.98,18.03,16.98,,15.63,13.97,12.61
2022-06-15 17:50,1204,18.5,3.9,0,0,29.7,2000,11.56,0.0,,7.1,270.0,0.82,,,,,,,,,
2022-06-15 17:50,1187,16.6,3.8,0,0,29.2,2000,12.94,0.0,,7.5,315.0,0.82,24.7,22.1,19.3,18,16.6,,15.5,14.2,13
2022-06-15 17:50,1101,15.7,3.2,5,0.12,22.7,2000,9.81,1.0,,6,270.0,0.81,,,,,,,,,
2022-06-15 17:50,1132,14.6,1.8,0,0,,2000,11.37,2.0,,4.4,270.0,0.78,26.36,23.42,18.12,17.52,16.48,,15.15,14.08,13.14
2022-06-15 17:50,1134,16.4,1.9,0,0,22.3,2000,10.7,0.0,,3.5,270.0,0.82,26.18,22.52,19.12,18.42,17.39,,16.1,14.95,13.85
2022-06-15 17:50,1135,18.5,1.6,0,0,25.9,2000,10.58,0.0,,5.6,225.0,0.82,28.04,24.98,19.77,18.78,17.78,,17.08,16,14.89
2022-06-15 17:50,306,18.3,5.7,0,0,30.5,2000,6.5,0.0,,6.9,225.0,0.82,28.1,23.98,19.14,18.32,17.58,,16.08,15.17,13.94
2022-06-15 17:50,3821,18.5,2.3,0,0,29.4,2000,9.82,0.0,,,315.0,0.82,,,,,,,,,
2022-06-15 17:50,1168,11.2,,,0,,2000,2.75,0.0,,,,0.82,16.85,19.09,21.31,21.4,20.5,,18.73,16.71,15.31
2022-06-15 17:50,1211,18.4,2.1,,,28.9,2000,6.88,0.0,,4.7,315.0,0.82,,,,,,,,,
2022-06-15 17:50,2481,15.5,5.6,5,0.24,21.8,2000,10.94,0.0,,6.2,270.0,0.82,,,,,,,,,
2022-06-15 17:50,4001,16,3,0,0,28.3,2000,9.65,0.0,,3.3,315.0,0.82,,,,,,,,,
2022-06-15 17:50,1042,15.3,2.4,0,0,,2000,10.07,0.0,,5.3,270.0,0.81,27.97,24.6,19.74,19.2,18.18,,16.58,15.13,13.65
2022-06-15 17:50,1063,18.4,1.2,0,0,30.7,2000,9.72,0.0,,3.4,270.0,0.82,,,21.21,,18.41,,16.3,14.75,
2022-06-15 17:50,1262,17.1,,,,,,10.9,,,,,,,,,,,,,,
2022-06-15 17:50,413,14.7,3.9,6,5.24,18.1,2000,10.7,2.0,,5,0.0,0.74,,,,,,,,,
2022-06-15 16:24,412,17.9,4.1,0,0,23,2000,10.1,0.0,,5.4,270.0,0.82,,,,,,,,,
2022-06-15 17:50,1071,20.6,4.3,,,,,12.3,0.0,,9.1,270.0,0.82,26.08,24.27,19.39,18.61,,,17.83,16.55,14.8
2022-06-15 17:50,1004,16.6,1.9,,,16.5,,12.35,1.0,,4.8,180.0,0.81,20.3,20.25,18.66,17.92,16.64,,15.49,14.45,13.64
2022-06-15 17:50,1125,18.5,6.3,0,0,26.1,2000,9.29,0.0,,10.3,270.0,0.82,23.21,22.03,19.1,18.95,18.73,,17.36,15.74,14.23
2022-06-15 17:50,1061,19.6,5.1,0,0,31.2,2000,10.84,0.0,,10.6,225.0,0.82,,,,,,,,,
2022-06-15 17:50,411,16.8,3,0,0,26.3,2000,10.2,0.0,,3.7,270.0,0.82,,,,,,,,,
2022-06-15 17:50,1143,16.6,1.6,,,19.3,,13.7,0.0,,4.4,270.0,0.82,20.89,20.32,18.2,18.29,17.78,,15.86,14.37,13.32
2022-06-15 17:50,410,16.9,0.7,,,23,,10.6,0.0,,1.4,180.0,0.82,,,,,,,,,
2022-06-15 17:50,401,16.9,5.8,0,0.13,21.2,2000,9.5,1.0,,7.3,315.0,0.82,,,,,,,,,
2022-06-15 17:50,1001,17.9,4.6,0,0,29.3,2000,9.26,0.0,,7.7,270.0,0.81,,,,,,,,,
2022-06-15 17:35,125,18.6,0.7,,,29.1,,9.32,0.0,,1.1,270.0,0.82,,,,,,,,,
2022-06-15 17:50,402,20,3.2,0,0,26.9,2000,10.7,0.0,,5.2,270.0,0.82,26.38,22.79,17.58,17.27,17.12,,15.66,14.3,12.81
2022-06-15 17:50,1129,21.1,4.2,0,0,,2000,8.36,0.0,,8.8,0.0,0.82,30.02,25.03,19.88,19.4,18.2,,16.69,15.11,13.03
2022-06-15 17:50,1006,17.4,4.1,0,0,,2000,8.79,0.0,,7.3,315.0,0.82,,,,,,,,,
2022-06-15 17:50,2561,14.9,0.6,0,0,19.7,2000,10.84,2.0,,0.9,225.0,0.79,,,,,,,,,
2022-06-15 17:50,2902,17.4,2.2,0,0.24,21.7,2000,11.21,0.0,,2.4,45.0,0.82,,,,,,,,,
2022-06-15 17:35,414,22.5,0.7,0,0,32.1,2000,7.8,0.0,,1.2,315.0,0.82,28.17,25.01,21.36,20.57,19.15,,17.42,15.78,14.26
2022-06-15 17:50,1066,19.4,5.7,0,0,33.9,2000,7.48,0.0,,9.7,315.0,0.82,31.7,27.11,,19.44,17.21,,14.99,13.16,11.84
2022-06-15 17:50,415,18.7,6.1,0,0,31.5,2000,8.8,0.0,,7,270.0,0.82,32.72,26.76,20.33,18.85,17.26,,15.37,14.1,12.4
2022-06-15 17:50,383,19.4,2.4,0,0,34.7,2000,11.2,0.0,,4.3,225.0,0.82,30.17,26.14,21.05,19.48,18.3,,16.91,15.27,14.23
2022-06-15 17:50,1008,20.9,3.5,0,0,36,2000,7.15,0.0,,6.6,315.0,0.82,,,,,,,,,
2022-06-15 17:50,1214,20.7,5.7,0,0,32.5,2000,6.24,0.0,,9.2,270.0,0.82,27.12,18.2,12.53,10.5,8.58,,7.24,3.71,7.04
2022-06-15 17:50,316,19.2,5.6,0,0,24.1,2000,7.6,0.0,,7.5,315.0,0.82,,,,,,,,,
2022-06-15 17:50,1012,14.9,1.3,0,0,18.1,2000,11.1,2.0,,2.9,270.0,0.79,,11.34,11.81,10.52,10.26,,,8.8,11.29
2022-06-15 17:50,318,14.3,0,0,0,16.8,2000,12.5,2.0,,0,270.0,0.79,,,,,,,,,
2022-06-15 17:50,1901,17.8,2.7,0,0,27.1,2000,9.8,,,2.8,315.0,,,,,,,,,,
2022-06-15 17:50,1189,19.9,5.3,,,,2000,8.56,0.0,,9,270.0,0.82,,,,,,,,,
2022-06-15 17:50,390,20.3,3,,,23.2,,9.3,0.0,,4,270.0,0.82,,,,,,,,,
2022-06-15 17:50,1015,17.8,6,0,0,35.1,2000,12.03,0.0,,10.2,270.0,0.82,36.54,29.1,22.52,21.11,,,19.17,17.27,15.52
2022-06-15 17:50,382,15.9,4.1,0,0,26.8,2000,12.5,0.0,,5.6,270.0,0.82,,,,,,,,,
2022-06-15 17:36,981,18.3,1.4,0,0,34.5,2000,13.58,0.0,,4.4,270.0,0.82,,,,,,,,,
2022-06-15 17:50,384,,3.2,0,0,26.3,2000,10,0.0,,3.9,270.0,0.82,,,,,,,,,
2022-06-15 17:50,2582,15.8,,,,,,11.07,0.0,,,,0.82,,,,,,,,,
2022-06-15 17:50,1074,17.8,1.3,0,0,29.6,2000,8.9,0.0,,5.5,270.0,0.82,30.72,26,20,19,17.53,,15.78,14.56,13.08
2022-06-15 17:50,2903,16.5,0.4,0,0.36,24.5,2000,9.9,0.0,,0.4,0.0,0.82,27.2,23.3,18.1,17.6,16.9,,15.5,13.8,12.1
2022-06-15 17:50,386,16.3,2.5,0,0,28,2000,9.3,0.0,,3.3,135.0,0.82,,,,,,,,,
2022-06-15 17:50,2501,15.6,1,0,0.06,29.4,2000,9.84,0.0,,1.1,135.0,0.82,,,,,,,,,
2022-06-15 17:50,1163,16.1,1,0,0,21.2,2000,11.87,1.0,,2.4,0.0,0.8,21.8,20.8,18.5,18.1,17.6,,16.1,14.2,12.8
2022-06-15 17:50,403,12.4,1.7,0,0.01,20.4,2000,11.1,2.0,,2,180.0,0.75,,,,,,,,,
2022-06-15 17:36,5210,18.3,5.5,0,0,24.6,2000,9.37,0.0,,9.8,270.0,0.82,,,,,,,,,
2022-06-15 17:50,1104,17.3,1.3,0,0,28.5,2000,8.95,0.0,,4,180.0,0.82,29.1,25,18.7,18.1,17.3,,15.8,14,12.3
2022-06-15 17:50,1401,18.3,1,0,0,28.9,2000,9.18,0.0,,1.1,270.0,0.82,,,,,,,,,
2022-06-15 17:50,407,19,3.8,0,0,31.4,2000,9.2,0.0,,5.6,315.0,0.82,,,,,,,,,
2022-06-15 17:50,385,16.5,4.6,0,0.04,29.4,2000,9.8,0.0,,6.1,225.0,0.82,,,,,,,,,
2022-06-15 17:50,1068,19.3,1,0,0,26.3,2000,8.61,0.0,,2.5,270.0,0.82,30.5,26.5,20.8,20.1,19.3,,18,16.1,14.3
2022-06-15 17:50,387,17.4,5.3,,,,,,,,6.2,0.0,,,,,,,,,,
2022-06-15 17:50,3981,16.2,2.1,0,0.48,25.2,1999,12.08,2.0,,2.2,180.0,0.79,,,,,,,,,
2022-06-15 17:50,1122,16.1,2.1,5,0,,2000,8.81,0.0,,6.8,225.0,0.81,,,,,,,,,
2022-06-15 17:50,1522,17.9,0.3,,,28.1,,10.68,0.0,,0.4,315.0,0.82,,,,,,,,,
2022-06-15 17:50,409,19.7,6.6,,0,31.7,2000,9,0.0,,8.2,270.0,0.82,,,,,,,,,
2022-06-15 17:50,3941,18.3,2.6,0,0.24,28.6,1999,10.82,0.0,,3.5,135.0,0.82,28.3,24,19.2,18.5,17.6,,15.2,14.4,12.9
2022-06-15 17:50,408,18.9,4.8,0,0,35.5,2000,9.7,0.0,,6.7,225.0,0.82,,,,,,,,,
2022-06-15 17:50,1123,19.7,4.8,0,0,30,2000,8.38,0.0,,8.9,270.0,0.82,26.99,22.78,18.56,18.43,17.88,,16.43,14.7,13.36
2022-06-15 17:50,394,18.9,2,0,0,28.5,2000,11.8,0.0,,3.7,225.0,0.82,,,,,,,,,
2022-06-15 17:50,1138,20,6.1,0,0,29.7,2000,7.7,0.0,,9.9,315.0,0.82,24.27,20.96,18.71,18.8,,,17.96,16.3,14.45
2022-06-15 17:50,391,14.6,6,5,0.2,22.1,2000,10.8,0.0,,7.6,0.0,0.82,,,,,,,,,
2022-06-15 17:50,392,18.6,0,0,0,29.8,2000,9.3,0.0,,0,0.0,0.82,,,,,,,,,
2022-06-15 17:50,1140,18.6,4.1,0,0,30.8,1926,9.65,0.0,,7.7,270.0,0.82,27.06,23.63,18.93,18.2,17.06,,15.63,14.32,12.61
