timestamp,station_UID,air_temp_C,wind_spd_avg_ms,prcp_type,prcp_amount_mm,road_temp_C,visibility_m,dew_pnt_C,road_surface,freezing_pnt_C,wind_spd_max_ms,wind_dir,road_grip_koef,undrgrnd_007_temp_C,undrgrnd_020_temp_C,undrgrnd_050_temp_C,undrgrnd_080_temp_C,undrgrnd_110_temp_C,undrgrnd_130_temp_C,undrgrnd_140_temp_C,undrgrnd_170_temp_C,undrgrnd_200_temp_C
2022-07-11 16:05,1166,17.5,,,,23.7,,16.52,,,,,,29.24,25.68,21.67,20.34,19.06,,17.49,16.62,16.45
2022-07-11 16:05,308,,2.7,0,0,33.1,2000,9.5,0.0,,3.8,315.0,0.82,26.51,23.62,21.33,20.96,20.26,,19.02,17.5,15.48
2022-07-11 16:06,6551,21.7,2.9,0,0,27.1,2000,9.89,0.0,,,315.0,0.82,,,,,,,,,
2022-07-11 16:05,1208,19.5,1.4,0,0,28.4,2000,9.38,0.0,,4.3,315.0,0.82,25.86,23.2,22.89,22.52,,,22.12,21.05,19.89
2022-07-11 16:05,1181,20.3,3.5,0,0,,2000,10.68,0.0,,6.7,0.0,0.82,27.6,24.1,21.4,21.3,20.8,,19.8,18.5,16.9
2022-07-11 16:08,310,,1.5,0,0,22,2000,10.5,0.0,,2.1,45.0,0.82,,,,,,,,,
2022-07-11 16:08,1206,21,0.8,0,0,27.3,2000,11.88,0.0,,2.2,270.0,0.82,26.26,23.64,21.74,21.52,,,20.58,19.77,18.49
2022-07-11 16:05,1183,19.9,1.9,,,28,,10.03,0.0,,3.8,0.0,0.82,46,39.6,24.64,19.41,,,16.68,17.25,
2022-07-11 16:05,363,19.2,1.8,0,0,27.6,2000,11.5,0.0,,2.6,180.0,0.82,26.82,22.44,20.6,20.29,19.64,,18.73,17.47,16.67
2022-07-11 16:05,361,21,2.2,0,0,29.7,2000,9.7,0.0,,3,270.0,0.82,26.4,23.11,20.95,20.84,20.21,,19.08,18,16.93
2022-07-11 16:05,1185,,1.7,0,0,29.4,2000,9.1,0.0,,3.8,0.0,0.82,28.8,25.4,22.3,21.8,21.1,,20.2,19.3,18.1
2022-07-11 16:05,1209,20.3,1.7,0,0,29.9,2000,11.23,0.0,,4.5,270.0,0.82,26.69,24.08,21.08,20.65,20.04,,19.21,18.4,17.38
2022-07-11 16:05,1201,15,2.8,5,0.66,18.1,2000,13.71,2.0,,3.9,315.0,0.77,27.79,23.23,19.33,19.19,18.92,,17.94,17.19,15.92
2022-07-11 16:05,367,19.1,2.5,,,26.9,,11.3,0.0,,2.8,315.0,0.82,25.81,23.79,20.75,20.25,19.94,,19.09,17.66,16.21
2022-07-11 16:05,1204,17.9,1.5,0,0,25.8,2000,11.68,0.0,,2.7,225.0,0.82,,,,,,,,,
2022-07-11 16:05,1187,20.2,3.5,0,0,30.9,2000,11.67,0.0,,6.7,0.0,0.82,23.2,21.7,20.9,20.6,20,,19.1,18,16.5
2022-07-11 16:05,1101,20,4.4,0,0,34.6,2000,11.48,0.0,,7.2,315.0,0.82,,,,,,,,,
2022-07-11 16:05,1132,18.5,3.8,0,0,,2000,12.7,0.0,,6.7,315.0,0.82,27.14,24.39,21.89,21.03,19.88,,18.79,17.91,17.01
2022-07-11 16:05,1134,18.2,1.4,0,0,20.1,2000,13.28,1.0,,3.6,315.0,0.8,25.72,24.03,22.74,21.68,20.55,,19.56,18.68,17.69
2022-07-11 16:05,1135,21.1,0.7,0,0,28.3,2000,12.24,0.0,,3.2,270.0,0.82,29.05,26.4,24.29,23.05,22,,21.03,20.27,19.41
2022-07-11 16:05,306,19.9,2.5,0,0,28.4,2000,7.3,0.0,,3,270.0,0.82,28.79,25.89,23.22,22.22,21.09,,19.73,19.12,18.03
2022-07-11 16:05,3821,20.7,1.7,0,0,29.5,2000,11.05,0.0,,,45.0,0.82,,,,,,,,,
2022-07-11 16:05,1168,11.2,,0,0,,2000,-1.56,0.0,,,,0.82,16.85,19.09,21.31,21.4,20.5,,18.73,16.71,15.31
2022-07-11 16:05,1211,19.3,2.7,,,33.3,2000,9.48,0.0,,4.7,315.0,0.82,,,,,,,,,
2022-07-11 16:05,2481,19.8,2.3,0,0,34.2,2000,9.74,0.0,,2.4,315.0,0.82,,,,,,,,,
2022-07-11 16:05,4001,19.5,2.7,0,0,32.8,2000,11.57,0.0,,3.4,315.0,0.82,,,,,,,,,
2022-07-11 16:05,1042,19.7,1.2,0,0,,2000,10.4,0.0,,3.2,315.0,0.82,28.83,25.61,22.36,22.18,21.43,,20.41,19.29,17.91
2022-07-11 16:05,1063,19.1,1,0,0,36.2,2000,7.83,0.0,,3.1,90.0,0.82,,,,20.76,,,,52.21,
2022-07-11 16:08,1262,18.1,,,,,,12.93,,,,,,,,,,,,,,
2022-07-11 16:08,413,19.6,0.9,0,0,24.8,2000,10.7,0.0,,1.3,315.0,0.82,,,,,,,,,
2022-07-11 16:06,412,20.8,1.9,0,0,29.5,2000,8.2,0.0,,3.2,225.0,0.82,,,,,,,,,
2022-07-11 16:08,1071,19,2,,,,,14.46,2.0,,4,270.0,0.78,28.88,25.36,22.05,21.64,,,21.08,20.24,18.74
2022-07-11 16:08,1004,18.8,0.8,,,23.8,,9.83,0.0,,4,0.0,0.82,23.42,21.68,21.09,20.63,19.51,,18.63,17.83,17.15
2022-07-11 16:05,1241,20.5,1.1,0,0,30.2,2000,9.71,0.0,,1.2,315.0,0.82,,,,,,,,,
2022-07-11 16:05,406,21.8,2,,,41.4,,9.5,0.0,,2.8,315.0,0.82,,,,,,,,,
2022-07-11 16:05,1125,21.9,3.2,0,0,37.5,2000,9.75,0.0,,6.3,315.0,0.82,32.55,28.55,24.09,23.1,22.21,,20.88,19.58,18.26
2022-07-11 16:05,1061,15.7,5.1,5,1.02,24.8,2000,9.59,2.0,,11.1,270.0,0.7,,,,,,,,,
2022-07-11 16:08,411,20.7,2.3,0,0,30.5,2000,10.5,0.0,,2.6,315.0,0.82,,,,,,,,,
2022-07-11 16:08,1143,21.7,0.7,,,28.6,,13.07,0.0,,3,270.0,0.82,27.19,23.07,21.25,21.28,20.5,,18.98,17.76,16.74
2022-07-11 16:06,410,20.3,1.2,,,30.1,,9.5,0.0,,1.8,45.0,0.82,,,,,,,,,
2022-07-11 16:05,401,21.1,2.4,0,0,31.7,2000,8.6,0.0,,3.2,45.0,0.82,,,,,,,,,
