timestamp,station_UID,air_temp_C,wind_spd_avg_ms,prcp_type,prcp_amount_mm,road_temp_C,visibility_m,dew_pnt_C,road_surface,freezing_pnt_C,wind_spd_max_ms,wind_dir,road_grip_koef,undrgrnd_007_temp_C,undrgrnd_020_temp_C,undrgrnd_050_temp_C,undrgrnd_080_temp_C,undrgrnd_110_temp_C,undrgrnd_130_temp_C,undrgrnd_140_temp_C,undrgrnd_170_temp_C,undrgrnd_200_temp_C
2022-01-24 20:50,1166,-4.5,,,,-5,,-6.1,5,,,,0.78,-5.13,-9.03,-8.93,-8.45,-7.28,,-5.3,-3.18,1
2022-01-24 20:50,1164,-4.1,2.9,11,0.06,-3.5,2000,-5.7,1,,5.7,180.0,0.8,,,,,,,,,
2022-01-24 20:50,308,,1.3,2,0.55,-2.8,2000,-5.2,2,,1.7,180.0,0.8,-2.99,-2.91,-0.91,0.41,1.34,,2.48,3.59,4.47
2022-01-24 20:52,6551,,2.7,10,,,2000,,2,,,180.0,0.72,,,,,,,,,
2022-01-24 20:50,1208,-2.2,1,0,0,-1.6,2000,-3.2,1,,3.9,270.0,0.8,-1.91,-1.51,-0.38,-0.06,0.61,,1.26,2.17,2.95
2022-01-24 20:50,1181,-1.9,4.3,0,0,-1.9,2000,-3.3,1,,6.6,225.0,0.81,-1.5,-1.1,-0.5,0.4,1.2,,2.1,3,4.1
2022-01-24 20:56,310,,4.3,0,0,-0.7,2000,-3.2,2,,5.1,225.0,0.74,,,,,,,,,
2022-01-24 20:56,1206,-0.5,3.9,0,0,-0.3,2000,-1.4,1,,6.7,180.0,0.81,-0.69,-0.35,0.25,1.19,1.95,,2.83,3.67,4.43
2022-01-24 20:50,1183,0.3,4.2,,,0.2,,0.02,,,7.5,180.0,,-0.54,-0.96,-1.08,-0.94,-0.33,,-0.15,1.55,2.9
2022-01-24 20:51,363,0.3,6.9,0,0,0.1,1260,-0.1,1,,7.9,180.0,0.8,-0.67,-1.2,-0.55,0.43,2.31,,3.35,3.63,4.46
2022-01-24 20:51,361,,5.8,0,0,,1270,-0.1,2,,8,225.0,0.8,-0.72,-0.76,-0.69,0.38,1.29,,2.05,2.95,3.66
2022-01-24 20:51,362,1.1,4.6,0,0,0.4,2000,-0.2,2,,5.6,225.0,0.79,,,,,,,,,
2022-01-24 20:50,1185,,4.4,5,0.12,0.4,623,0.6,1,,9.1,225.0,0.77,-0.6,-0.8,-0.6,0.1,0.9,,1.6,2.3,3.1
2022-01-24 20:50,1209,1.1,6.8,3,0,0.6,386,1.1,,,9.4,225.0,,-0.03,-0.43,-0.34,0.52,1.25,,2.05,2.78,3.45
2022-01-24 20:50,1201,1.7,6.1,0,0,0.9,2000,1.7,1,,9,270.0,0.8,-0.4,-0.77,-0.14,0.62,1.79,,2.5,3.29,4.06
2022-01-24 20:51,367,2.2,4.5,,,2,,2.1,2,,6,225.0,0.75,0.89,0.53,0.59,0.96,1.96,,2.68,3.27,4.2
2022-01-24 20:50,1204,3.2,3.7,,,2.8,2000,2.62,2,,6.4,225.0,0.75,,,,,,,,,
2022-01-24 20:50,1187,3.3,5.6,0,0,,2000,3.16,0,,9,315.0,0.79,1.8,1.6,1.8,2.6,3.5,,4.1,4.9,5.7
2022-01-24 20:50,1101,-4.8,3.9,,0,-4.1,2000,-6.1,3,,7,180.0,0.36,,,,,,,,,
2022-01-24 20:50,1132,-3.8,2.8,10,0,-3.8,2000,-5.8,2,,5.1,180.0,0.79,-2.96,-2.29,-0.51,0.95,1.99,,2.84,3.51,4.21
2022-01-24 20:50,1134,-3,3,0,0,-2.8,2000,-4,1,,5.1,180.0,0.8,-2.06,-2.26,-0.49,0.55,1.46,,2.24,2.88,3.4
2022-01-24 20:50,1135,-1.9,2.6,0,0,-1.4,2000,-3.6,1,,5.5,180.0,0.81,-1.48,-1.46,-0.87,-0.6,0.16,,1.62,2.1,2.63
2022-01-24 20:50,306,-1.3,5.6,0,0,,1750,-3.6,2,,7,180.0,0.79,-1.42,-1.1,-0.55,0.04,1.48,,1.98,2.87,3.44
2022-01-24 20:51,3821,-1,5.4,0,,-0.7,2000,-1,2,,,225.0,0.77,,,,,,,,,
2022-01-24 20:50,1168,-0.8,,0,0,,2000,,2,,,,0.79,-1.24,-1.31,-0.89,-0.18,0.34,,1.16,1.69,2.8
2022-01-24 20:50,1211,-5.7,3,,,-5.5,2000,-7.9,2,,6.5,180.0,0.78,,,,,,,,,
2022-01-24 20:50,2481,-4.4,4.2,10,0.42,-4.2,2000,-5.8,2,,4.4,135.0,0.79,,,,,,,,,
2022-01-24 20:51,4001,-4.2,1.9,10,0.06,-4,2000,-5.3,2,,2,180.0,0.79,,,,,,,,,
2022-01-24 20:50,1042,-4.2,2,11,0,,2000,,2,,4.3,180.0,0.78,-3.64,-3.33,-1.79,-0.71,0.24,,1.13,1.75,2.22
2022-01-24 20:50,1063,-2.7,0.7,0,0,-3.1,2000,-4.8,2,,1.5,180.0,0.77,,,-1.05,,0.14,,2.83,3.87,
2022-01-24 20:56,1262,-0.7,,,,,,,2,,,,0.76,,,,,,,,,
2022-01-24 20:56,413,-1.1,4.4,0,0,-0.9,2000,-2.1,1,,5,225.0,0.8,,,,,,,,,
2022-01-24 20:56,412,-0.8,4.4,0,0,-0.9,2000,-1.6,2,,5.3,225.0,0.79,,,,,,,,,
2022-01-24 20:56,1071,-0.2,3.1,,,,,,2,,6.2,180.0,0.79,-0.28,-0.22,0.31,1.07,1.85,,2.89,3.8,4.49
2022-01-24 20:50,1004,-1.4,4,,,-0.9,,-2.4,2,,7.6,225.0,0.79,-1.54,-1.26,-0.32,0.69,1.48,,2.4,3.17,4.09
2022-01-24 20:50,1241,-1.8,3.5,0,0,-1.4,2000,-2.9,1,,3.9,225.0,0.8,,,,,,,,,
2022-01-24 20:51,406,-2.3,2.5,,,-1.9,,-3.4,1,,4.6,180.0,0.82,-2.29,-2.21,-1.7,-0.85,0.22,,1.59,2.36,2.83
2022-01-24 20:50,1125,-3.4,,0,0,-3,2000,-4.5,1,,,,0.81,-3.2,-2.51,-1.64,-0.63,0.47,,1.32,2.2,2.99
2022-01-24 20:50,1061,0.8,4.4,0,0,0,2000,0.38,2,,8.2,180.0,0.78,,,,,,,,,
2022-01-24 20:56,411,-0.7,4.5,0,0,-0.6,2000,-1.8,2,,6.5,225.0,0.8,,,,,,,,,
2022-01-24 20:56,1143,-0.8,4.2,,,-0.6,,-2,1,,7.1,180.0,0.81,-0.4,-0.45,-0.2,0.68,1.59,,3.02,3.94,4.67
2022-01-24 20:51,410,,3.8,,,-0.4,,-1.1,1,,5,180.0,0.81,,,,,,,,,
2022-01-24 20:51,401,0.4,6.2,0,0,-0.5,2000,-0.6,2,,6.9,270.0,0.78,,,,,,,,,
