timestamp,station_UID,air_temp_C,wind_spd_avg_ms,prcp_type,prcp_amount_mm,road_temp_C,visibility_m,dew_pnt_C,road_surface,freezing_pnt_C,wind_spd_max_ms,wind_dir,road_grip_koef,undrgrnd_007_temp_C,undrgrnd_020_temp_C,undrgrnd_050_temp_C,undrgrnd_080_temp_C,undrgrnd_110_temp_C,undrgrnd_130_temp_C,undrgrnd_140_temp_C,undrgrnd_170_temp_C,undrgrnd_200_temp_C
2022-02-18 19:20,1166,1.6,,,,0.9,,0.89,,,,,,1.36,-1.19,-3.53,-4.92,-4.78,,-3.41,-1.75,0.52
2022-02-18 19:20,1164,2.6,4.5,0,0,2.6,2000,0.34,1.0,,8,225.0,0.81,,,,,,,,,
2022-02-18 19:21,308,,2.4,0,0,2.8,2000,0,2.0,,3.6,225.0,0.8,3.28,3.27,2.99,2.96,2.95,,3.14,3.63,4.06
2022-02-18 19:22,6551,2.6,6,9,0,2.2,2000,0.66,2.0,,,225.0,0.72,,,,,,,,,
2022-02-18 19:20,1208,2.7,1.9,0,0,3,2000,1.53,1.0,,6,315.0,0.81,3.02,2.76,2.45,2.1,2.12,,2.07,2.45,2.92
2022-02-18 19:20,1181,3,3.5,0,0,,2000,0.89,1.0,,6.1,225.0,0.81,3.5,3.6,2.9,2.8,2.8,,3,3.3,3.9
2022-02-18 19:32,310,,4.5,0,0,3.2,2000,-1,0.0,,5.8,225.0,0.82,,,,,,,,,
2022-02-18 19:32,1206,3,3.6,0,0,2.6,2000,0.23,0.0,,7.7,225.0,0.82,2.83,3.42,2.98,3.14,3.08,,3.36,3.73,4.14
2022-02-18 19:20,1183,3.1,4.4,,,2.2,,-0.9,0.0,,8,180.0,0.82,3.22,3.26,2.39,2.2,1.95,,1.18,2.45,3.29
2022-02-18 19:21,363,2.7,5.6,0,0,2.1,2000,-1.1,0.0,,6.4,180.0,0.82,3.47,3.18,2.87,2.88,3.5,,3.79,3.7,4.28
2022-02-18 19:21,361,,5.8,0,0,,2000,-1.3,0.0,,7.2,225.0,0.82,2.54,2.78,2.43,2.62,2.74,,2.8,3.19,3.61
2022-02-18 19:21,362,2.2,4.5,0,0,1.6,2000,-2,0.0,,6.2,225.0,0.82,,,,,,,,,
2022-02-18 19:20,1185,,2.9,0,0,1.8,2000,0,0.0,,5.5,225.0,0.82,2.8,2.9,2.3,2.3,2.3,,2.5,2.9,3.4
2022-02-18 19:20,1209,1.5,4.8,0,0,1.2,2000,-0.11,0.0,,7.8,225.0,0.82,2.56,2.62,2.19,2.37,2.55,,2.73,3.09,3.49
2022-02-18 19:20,1201,2.1,5.8,0,0,1.5,2000,0.79,0.0,,8.2,225.0,0.82,2.72,2.8,2.26,2.22,2.73,,3.01,3.43,3.94
